,Month,Model,Region,Type,Value
0,1,AI,AO,R,0.987241459
1,1,AI,AO,RMSE,0.753510237
2,1,AI,PDO,R,0.980569674
3,1,AI,PDO,RMSE,1.49577415
4,1,AI,WP,R,0.989443323
5,1,AI,WP,RMSE,0.713753939
6,1,AI,Nino,R,0.961857988
7,1,AI,Nino,RMSE,0.534662008
8,1,AI,SIO,R,0.993320966
9,1,AI,SIO,RMSE,0.829164922
10,1,AI,SPO,R,0.989030375
11,1,AI,SPO,RMSE,0.921209574
12,1,AI,SAO,R,0.992441951
13,1,AI,SAO,RMSE,1.024804235
14,2,AI,AO,R,0.986076829
15,2,AI,AO,RMSE,0.796996891
16,2,AI,PDO,R,0.975749416
17,2,AI,PDO,RMSE,1.627005577
18,2,AI,WP,R,0.98947603
19,2,AI,WP,RMSE,0.732701361
20,2,AI,Nino,R,0.958532009
21,2,AI,Nino,RMSE,0.576097965
22,2,AI,SIO,R,0.993419238
23,2,AI,SIO,RMSE,0.78139621
24,2,AI,SPO,R,0.988000029
25,2,AI,SPO,RMSE,0.859833777
26,2,AI,SAO,R,0.992713082
27,2,AI,SAO,RMSE,0.950208962
28,3,AI,AO,R,0.986845854
29,3,AI,AO,RMSE,0.778338134
30,3,AI,PDO,R,0.974101034
31,3,AI,PDO,RMSE,1.645069838
32,3,AI,WP,R,0.989330289
33,3,AI,WP,RMSE,0.737410724
34,3,AI,Nino,R,0.923497522
35,3,AI,Nino,RMSE,0.58929491
36,3,AI,SIO,R,0.99347766
37,3,AI,SIO,RMSE,0.802882969
38,3,AI,SPO,R,0.987964529
39,3,AI,SPO,RMSE,0.893283248
40,3,AI,SAO,R,0.992654418
41,3,AI,SAO,RMSE,0.974143147
