,Month,Model,Region,Type,Value
0,1,BoM,AO,R,0.6003003318903617
1,1,BoM,AO,RMSE,18.771038055419922
2,1,BoM,PDO,R,0.9607145466478078
3,1,BoM,PDO,RMSE,2.481480836868286
4,1,BoM,WP,R,0.7337690083350459
5,1,BoM,WP,RMSE,1.632045865058899
6,1,BoM,Nino,R,0.9613564761934327
7,1,BoM,Nino,RMSE,0.6053520441055298
8,1,BoM,SIO,R,0.9870925483329058
9,1,BoM,SIO,RMSE,0.7858387231826782
10,1,BoM,SPO,R,0.9887260542271319
11,1,BoM,SPO,RMSE,0.5952718257904053
12,1,BoM,SAO,R,0.9621364480508151
13,1,BoM,SAO,RMSE,1.4434059858322144
14,2,BoM,AO,R,0.5862191077003763
15,2,BoM,AO,RMSE,18.793460845947266
16,2,BoM,PDO,R,0.9571242944174174
17,2,BoM,PDO,RMSE,2.8545851707458496
18,2,BoM,WP,R,0.7138204729708807
19,2,BoM,WP,RMSE,1.6965464353561401
20,2,BoM,Nino,R,0.943409490957319
21,2,BoM,Nino,RMSE,0.634649932384491
22,2,BoM,SIO,R,0.986165717052505
23,2,BoM,SIO,RMSE,0.8894264101982117
24,2,BoM,SPO,R,0.9863062237713311
25,2,BoM,SPO,RMSE,0.7933400273323059
26,2,BoM,SAO,R,0.9614208904603699
27,2,BoM,SAO,RMSE,1.5703635215759277
