,Month,Model,Region,Type,Value
0,1,COLA-RSMAS-CCSM3,AO,R,0.8763501251585146
1,1,COLA-RSMAS-CCSM3,AO,RMSE,0.9930437803268433
2,1,COLA-RSMAS-CCSM3,PDO,R,0.9807876483187662
3,1,COLA-RSMAS-CCSM3,PDO,RMSE,2.219986915588379
4,1,COLA-RSMAS-CCSM3,WP,R,0.7603876225623103
5,1,COLA-RSMAS-CCSM3,WP,RMSE,1.6031887531280518
6,1,COLA-RSMAS-CCSM3,Nino,R,0.8479261659894259
7,1,COLA-RSMAS-CCSM3,Nino,RMSE,0.8474580645561218
8,1,COLA-RSMAS-CCSM3,SIO,R,0.9801156161505664
9,1,COLA-RSMAS-CCSM3,SIO,RMSE,1.1888021230697632
10,1,COLA-RSMAS-CCSM3,SPO,R,0.9742979162647014
11,1,COLA-RSMAS-CCSM3,SPO,RMSE,1.0601176023483276
12,1,COLA-RSMAS-CCSM3,SAO,R,0.9747855048725901
13,1,COLA-RSMAS-CCSM3,SAO,RMSE,1.3751106262207031
14,2,COLA-RSMAS-CCSM3,AO,R,0.8744323769016825
15,2,COLA-RSMAS-CCSM3,AO,RMSE,1.0048062801361084
16,2,COLA-RSMAS-CCSM3,PDO,R,0.9787764852616818
17,2,COLA-RSMAS-CCSM3,PDO,RMSE,2.217766284942627
18,2,COLA-RSMAS-CCSM3,WP,R,0.7515997372320931
19,2,COLA-RSMAS-CCSM3,WP,RMSE,1.6475707292556763
20,2,COLA-RSMAS-CCSM3,Nino,R,0.8480596127468095
21,2,COLA-RSMAS-CCSM3,Nino,RMSE,0.9621503353118896
22,2,COLA-RSMAS-CCSM3,SIO,R,0.9771561905672045
23,2,COLA-RSMAS-CCSM3,SIO,RMSE,1.2621362209320068
24,2,COLA-RSMAS-CCSM3,SPO,R,0.9698277333630507
25,2,COLA-RSMAS-CCSM3,SPO,RMSE,1.095766544342041
26,2,COLA-RSMAS-CCSM3,SAO,R,0.9678847371075088
27,2,COLA-RSMAS-CCSM3,SAO,RMSE,1.4809622764587402
28,3,COLA-RSMAS-CCSM3,AO,R,0.872250176680986
29,3,COLA-RSMAS-CCSM3,AO,RMSE,1.0133718252182007
30,3,COLA-RSMAS-CCSM3,PDO,R,0.9770261327930321
31,3,COLA-RSMAS-CCSM3,PDO,RMSE,2.2441749572753906
32,3,COLA-RSMAS-CCSM3,WP,R,0.7401607165423594
33,3,COLA-RSMAS-CCSM3,WP,RMSE,1.6908159255981445
34,3,COLA-RSMAS-CCSM3,Nino,R,0.841266275779794
35,3,COLA-RSMAS-CCSM3,Nino,RMSE,1.0919699668884277
36,3,COLA-RSMAS-CCSM3,SIO,R,0.9749537422381167
37,3,COLA-RSMAS-CCSM3,SIO,RMSE,1.3205130100250244
38,3,COLA-RSMAS-CCSM3,SPO,R,0.9658605092896422
39,3,COLA-RSMAS-CCSM3,SPO,RMSE,1.138020396232605
40,3,COLA-RSMAS-CCSM3,SAO,R,0.9621579968262708
41,3,COLA-RSMAS-CCSM3,SAO,RMSE,1.5742324590682983
