,Month,Model,Region,Type,Value
0,1,COLA-RSMAS-CESM1,AO,R,0.9266446662126593
1,1,COLA-RSMAS-CESM1,AO,RMSE,0.8386867046356201
2,1,COLA-RSMAS-CESM1,PDO,R,0.9864784685133573
3,1,COLA-RSMAS-CESM1,PDO,RMSE,1.9731426239013672
4,1,COLA-RSMAS-CESM1,WP,R,0.7470281536936458
5,1,COLA-RSMAS-CESM1,WP,RMSE,1.665234088897705
6,1,COLA-RSMAS-CESM1,Nino,R,0.8988424087671956
7,1,COLA-RSMAS-CESM1,Nino,RMSE,0.6215112209320068
8,1,COLA-RSMAS-CESM1,SIO,R,0.9873476102385402
9,1,COLA-RSMAS-CESM1,SIO,RMSE,0.8711557388305664
10,1,COLA-RSMAS-CESM1,SPO,R,0.9843271801869309
11,1,COLA-RSMAS-CESM1,SPO,RMSE,0.88702791929245
12,1,COLA-RSMAS-CESM1,SAO,R,0.9868766708484114
13,1,COLA-RSMAS-CESM1,SAO,RMSE,1.0303378105163574
14,2,COLA-RSMAS-CESM1,AO,R,0.910978378229728
15,2,COLA-RSMAS-CESM1,AO,RMSE,0.9093414545059204
16,2,COLA-RSMAS-CESM1,PDO,R,0.9853530510181439
17,2,COLA-RSMAS-CESM1,PDO,RMSE,1.9813640117645264
18,2,COLA-RSMAS-CESM1,WP,R,0.7469005663553127
19,2,COLA-RSMAS-CESM1,WP,RMSE,1.6755199432373047
20,2,COLA-RSMAS-CESM1,Nino,R,0.8860201341860149
21,2,COLA-RSMAS-CESM1,Nino,RMSE,0.6834447383880615
22,2,COLA-RSMAS-CESM1,SIO,R,0.9849097200755147
23,2,COLA-RSMAS-CESM1,SIO,RMSE,0.9511703252792358
24,2,COLA-RSMAS-CESM1,SPO,R,0.9807633610501947
25,2,COLA-RSMAS-CESM1,SPO,RMSE,0.9470034837722778
26,2,COLA-RSMAS-CESM1,SAO,R,0.9830776012990374
27,2,COLA-RSMAS-CESM1,SAO,RMSE,1.140488624572754
28,3,COLA-RSMAS-CESM1,AO,R,0.8982553831330231
29,3,COLA-RSMAS-CESM1,AO,RMSE,0.9931612014770508
30,3,COLA-RSMAS-CESM1,PDO,R,0.9844141751226486
31,3,COLA-RSMAS-CESM1,PDO,RMSE,1.9861396551132202
32,3,COLA-RSMAS-CESM1,WP,R,0.7447083571992446
33,3,COLA-RSMAS-CESM1,WP,RMSE,1.6973190307617188
34,3,COLA-RSMAS-CESM1,Nino,R,0.8745812810693177
35,3,COLA-RSMAS-CESM1,Nino,RMSE,0.8524735569953918
36,3,COLA-RSMAS-CESM1,SIO,R,0.9829033359419758
37,3,COLA-RSMAS-CESM1,SIO,RMSE,1.0266042947769165
38,3,COLA-RSMAS-CESM1,SPO,R,0.9775062607003293
39,3,COLA-RSMAS-CESM1,SPO,RMSE,1.013049602508545
40,3,COLA-RSMAS-CESM1,SAO,R,0.9798658377983411
41,3,COLA-RSMAS-CESM1,SAO,RMSE,1.2416651248931885
