,Month,Model,Region,Type,Value
0,1,CanSIPS-I4,AO,R,0.9516660426943603
1,1,CanSIPS-I4,AO,RMSE,0.7484654188156128
2,1,CanSIPS-I4,PDO,R,0.9908624783394364
3,1,CanSIPS-I4,PDO,RMSE,1.715532898902893
4,1,CanSIPS-I4,WP,R,0.9385377311109849
5,1,CanSIPS-I4,WP,RMSE,0.7468522787094116
6,1,CanSIPS-I4,Nino,R,0.9028055428590406
7,1,CanSIPS-I4,Nino,RMSE,0.7440897226333618
8,1,CanSIPS-I4,SIO,R,0.9901152025630662
9,1,CanSIPS-I4,SIO,RMSE,0.8860066533088684
10,1,CanSIPS-I4,SPO,R,0.9883694200182161
11,1,CanSIPS-I4,SPO,RMSE,0.844708263874054
12,1,CanSIPS-I4,SAO,R,0.9900769713795007
13,1,CanSIPS-I4,SAO,RMSE,0.9930405616760254
14,2,CanSIPS-I4,AO,R,0.9426221038320699
15,2,CanSIPS-I4,AO,RMSE,0.8171855211257935
16,2,CanSIPS-I4,PDO,R,0.988610068125457
17,2,CanSIPS-I4,PDO,RMSE,1.8271602392196655
18,2,CanSIPS-I4,WP,R,0.9243952042969111
19,2,CanSIPS-I4,WP,RMSE,0.8452353477478027
20,2,CanSIPS-I4,Nino,R,0.8930939980060042
21,2,CanSIPS-I4,Nino,RMSE,1.0099657773971558
22,2,CanSIPS-I4,SIO,R,0.9886172157449596
23,2,CanSIPS-I4,SIO,RMSE,0.9469237923622131
24,2,CanSIPS-I4,SPO,R,0.985348187236547
25,2,CanSIPS-I4,SPO,RMSE,0.9182854294776917
26,2,CanSIPS-I4,SAO,R,0.9884277404327074
27,2,CanSIPS-I4,SAO,RMSE,1.0631903409957886
28,3,CanSIPS-I4,AO,R,0.9368277938653116
29,3,CanSIPS-I4,AO,RMSE,0.8652315139770508
30,3,CanSIPS-I4,PDO,R,0.9867968465645728
31,3,CanSIPS-I4,PDO,RMSE,1.9473851919174194
32,3,CanSIPS-I4,WP,R,0.9133320291107291
33,3,CanSIPS-I4,WP,RMSE,0.9193893074989319
34,3,CanSIPS-I4,Nino,R,0.8898090659619202
35,3,CanSIPS-I4,Nino,RMSE,1.1549094915390015
36,3,CanSIPS-I4,SIO,R,0.9873984554578586
37,3,CanSIPS-I4,SIO,RMSE,1.003965139389038
38,3,CanSIPS-I4,SPO,R,0.9834828002959454
39,3,CanSIPS-I4,SPO,RMSE,0.9732584953308105
40,3,CanSIPS-I4,SAO,R,0.9868455560834992
41,3,CanSIPS-I4,SAO,RMSE,1.1389015913009644
