,Month,Model,Region,Type,Value
0,1,CanSIPSv2,AO,R,0.9504863908703659
1,1,CanSIPSv2,AO,RMSE,0.7659957408905029
2,1,CanSIPSv2,PDO,R,0.9908533216763313
3,1,CanSIPSv2,PDO,RMSE,1.7512850761413574
4,1,CanSIPSv2,WP,R,0.923663519859539
5,1,CanSIPSv2,WP,RMSE,0.846457839012146
6,1,CanSIPSv2,Nino,R,0.8833011003147816
7,1,CanSIPSv2,Nino,RMSE,0.6611317992210388
8,1,CanSIPSv2,SIO,R,0.9912741715661705
9,1,CanSIPSv2,SIO,RMSE,0.8667542934417725
10,1,CanSIPSv2,SPO,R,0.9883299540423002
11,1,CanSIPSv2,SPO,RMSE,0.8755828142166138
12,1,CanSIPSv2,SAO,R,0.9902314967200095
13,1,CanSIPSv2,SAO,RMSE,1.02811861038208
14,2,CanSIPSv2,AO,R,0.9441993425726878
15,2,CanSIPSv2,AO,RMSE,0.8241965174674988
16,2,CanSIPSv2,PDO,R,0.9892227530778119
17,2,CanSIPSv2,PDO,RMSE,1.8040422201156616
18,2,CanSIPSv2,WP,R,0.9037984621543921
19,2,CanSIPSv2,WP,RMSE,1.0062569379806519
20,2,CanSIPSv2,Nino,R,0.8692631160980181
21,2,CanSIPSv2,Nino,RMSE,0.9033099412918091
22,2,CanSIPSv2,SIO,R,0.9893341280498077
23,2,CanSIPSv2,SIO,RMSE,0.9465181827545166
24,2,CanSIPSv2,SPO,R,0.9847583823937048
25,2,CanSIPSv2,SPO,RMSE,0.9382697343826294
26,2,CanSIPSv2,SAO,R,0.9878322119872914
27,2,CanSIPSv2,SAO,RMSE,1.0936014652252197
28,3,CanSIPSv2,AO,R,0.9391284897818132
29,3,CanSIPSv2,AO,RMSE,0.8803114891052246
30,3,CanSIPSv2,PDO,R,0.9875549036981054
31,3,CanSIPSv2,PDO,RMSE,1.8798795938491821
32,3,CanSIPSv2,WP,R,0.8885053052888026
33,3,CanSIPSv2,WP,RMSE,1.141689419746399
34,3,CanSIPSv2,Nino,R,0.8573014108632365
35,3,CanSIPSv2,Nino,RMSE,1.1074007749557495
36,3,CanSIPSv2,SIO,R,0.9872215468697088
37,3,CanSIPSv2,SIO,RMSE,1.0220108032226562
38,3,CanSIPSv2,SPO,R,0.9801498685044696
39,3,CanSIPSv2,SPO,RMSE,1.0140700340270996
40,3,CanSIPSv2,SAO,R,0.9846833103434406
41,3,CanSIPSv2,SAO,RMSE,1.1833513975143433
