,Month,Model,Region,Type,Value
0,1,ECMWF,AO,R,0.565876089451856
1,1,ECMWF,AO,RMSE,2.418644666671753
2,1,ECMWF,PDO,R,0.9764093630109643
3,1,ECMWF,PDO,RMSE,1.9150478839874268
4,1,ECMWF,WP,R,0.7332433373926384
5,1,ECMWF,WP,RMSE,1.7538769245147705
6,1,ECMWF,Nino,R,0.922850279330516
7,1,ECMWF,Nino,RMSE,0.44653254747390747
8,1,ECMWF,SIO,R,0.9881695716888995
9,1,ECMWF,SIO,RMSE,0.8718277215957642
10,1,ECMWF,SPO,R,0.9874174961801926
11,1,ECMWF,SPO,RMSE,0.6866614818572998
12,1,ECMWF,SAO,R,0.9848087364047068
13,1,ECMWF,SAO,RMSE,0.9787158370018005
