,Month,Model,Region,Type,Value
0,1,GFDL-CM2p1-aer04,AO,R,0.9119699274937385
1,1,GFDL-CM2p1-aer04,AO,RMSE,1.0641388893127441
2,1,GFDL-CM2p1-aer04,PDO,R,0.9872825388456571
3,1,GFDL-CM2p1-aer04,PDO,RMSE,1.8417894840240479
4,1,GFDL-CM2p1-aer04,WP,R,0.9077381985890797
5,1,GFDL-CM2p1-aer04,WP,RMSE,0.9145351648330688
6,1,GFDL-CM2p1-aer04,Nino,R,0.8583150415512436
7,1,GFDL-CM2p1-aer04,Nino,RMSE,0.7647476196289062
8,1,GFDL-CM2p1-aer04,SIO,R,0.9799115611553664
9,1,GFDL-CM2p1-aer04,SIO,RMSE,1.0968557596206665
10,1,GFDL-CM2p1-aer04,SPO,R,0.9834204022247154
11,1,GFDL-CM2p1-aer04,SPO,RMSE,0.9187073111534119
12,1,GFDL-CM2p1-aer04,SAO,R,0.9785151575272122
13,1,GFDL-CM2p1-aer04,SAO,RMSE,1.2486809492111206
14,2,GFDL-CM2p1-aer04,AO,R,0.9007920819411448
15,2,GFDL-CM2p1-aer04,AO,RMSE,1.144755482673645
16,2,GFDL-CM2p1-aer04,PDO,R,0.9856571063050754
17,2,GFDL-CM2p1-aer04,PDO,RMSE,1.8753278255462646
18,2,GFDL-CM2p1-aer04,WP,R,0.8846368463252093
19,2,GFDL-CM2p1-aer04,WP,RMSE,1.03268301486969
20,2,GFDL-CM2p1-aer04,Nino,R,0.8206297607017804
21,2,GFDL-CM2p1-aer04,Nino,RMSE,1.0453908443450928
22,2,GFDL-CM2p1-aer04,SIO,R,0.9778025132954357
23,2,GFDL-CM2p1-aer04,SIO,RMSE,1.2024418115615845
24,2,GFDL-CM2p1-aer04,SPO,R,0.9812322474989281
25,2,GFDL-CM2p1-aer04,SPO,RMSE,0.9858524203300476
26,2,GFDL-CM2p1-aer04,SAO,R,0.9739050113911901
27,2,GFDL-CM2p1-aer04,SAO,RMSE,1.4383864402770996
28,3,GFDL-CM2p1-aer04,AO,R,0.8934046636577344
29,3,GFDL-CM2p1-aer04,AO,RMSE,1.205816626548767
30,3,GFDL-CM2p1-aer04,PDO,R,0.9841212058934763
31,3,GFDL-CM2p1-aer04,PDO,RMSE,1.9252029657363892
32,3,GFDL-CM2p1-aer04,WP,R,0.8688918311058879
33,3,GFDL-CM2p1-aer04,WP,RMSE,1.1096729040145874
34,3,GFDL-CM2p1-aer04,Nino,R,0.8057136504741935
35,3,GFDL-CM2p1-aer04,Nino,RMSE,1.233485221862793
36,3,GFDL-CM2p1-aer04,SIO,R,0.9769191526489479
37,3,GFDL-CM2p1-aer04,SIO,RMSE,1.2765494585037231
38,3,GFDL-CM2p1-aer04,SPO,R,0.9792151980023812
39,3,GFDL-CM2p1-aer04,SPO,RMSE,1.0522615909576416
40,3,GFDL-CM2p1-aer04,SAO,R,0.9702146997761693
41,3,GFDL-CM2p1-aer04,SAO,RMSE,1.570512056350708
