,Month,Model,Region,Type,Value
0,1,GFDL-CM2p5-FLOR-A06,AO,R,0.9110869873946387
1,1,GFDL-CM2p5-FLOR-A06,AO,RMSE,1.0592461824417114
2,1,GFDL-CM2p5-FLOR-A06,PDO,R,0.9864724151205231
3,1,GFDL-CM2p5-FLOR-A06,PDO,RMSE,1.8536767959594727
4,1,GFDL-CM2p5-FLOR-A06,WP,R,0.9168186595625771
5,1,GFDL-CM2p5-FLOR-A06,WP,RMSE,0.8629775643348694
6,1,GFDL-CM2p5-FLOR-A06,Nino,R,0.8667117129844724
7,1,GFDL-CM2p5-FLOR-A06,Nino,RMSE,0.7307664752006531
8,1,GFDL-CM2p5-FLOR-A06,SIO,R,0.980353007255089
9,1,GFDL-CM2p5-FLOR-A06,SIO,RMSE,1.0527125597000122
10,1,GFDL-CM2p5-FLOR-A06,SPO,R,0.9823585933854724
11,1,GFDL-CM2p5-FLOR-A06,SPO,RMSE,0.9186572432518005
12,1,GFDL-CM2p5-FLOR-A06,SAO,R,0.9769854359388039
13,1,GFDL-CM2p5-FLOR-A06,SAO,RMSE,1.2306913137435913
14,2,GFDL-CM2p5-FLOR-A06,AO,R,0.8997743315773874
15,2,GFDL-CM2p5-FLOR-A06,AO,RMSE,1.1464192867279053
16,2,GFDL-CM2p5-FLOR-A06,PDO,R,0.9844419116960521
17,2,GFDL-CM2p5-FLOR-A06,PDO,RMSE,1.910443663597107
18,2,GFDL-CM2p5-FLOR-A06,WP,R,0.9061957351452051
19,2,GFDL-CM2p5-FLOR-A06,WP,RMSE,0.9229282736778259
20,2,GFDL-CM2p5-FLOR-A06,Nino,R,0.8514603186356027
21,2,GFDL-CM2p5-FLOR-A06,Nino,RMSE,0.8185994625091553
22,2,GFDL-CM2p5-FLOR-A06,SIO,R,0.9784262924715638
23,2,GFDL-CM2p5-FLOR-A06,SIO,RMSE,1.129758596420288
24,2,GFDL-CM2p5-FLOR-A06,SPO,R,0.980088676392601
25,2,GFDL-CM2p5-FLOR-A06,SPO,RMSE,0.976436197757721
26,2,GFDL-CM2p5-FLOR-A06,SAO,R,0.9722037250601641
27,2,GFDL-CM2p5-FLOR-A06,SAO,RMSE,1.368653416633606
28,3,GFDL-CM2p5-FLOR-A06,AO,R,0.8922309749356684
29,3,GFDL-CM2p5-FLOR-A06,AO,RMSE,1.2066041231155396
30,3,GFDL-CM2p5-FLOR-A06,PDO,R,0.9829166929425024
31,3,GFDL-CM2p5-FLOR-A06,PDO,RMSE,1.972948431968689
32,3,GFDL-CM2p5-FLOR-A06,WP,R,0.8966519398532429
33,3,GFDL-CM2p5-FLOR-A06,WP,RMSE,0.9717658162117004
34,3,GFDL-CM2p5-FLOR-A06,Nino,R,0.8450285839639705
35,3,GFDL-CM2p5-FLOR-A06,Nino,RMSE,0.884347140789032
36,3,GFDL-CM2p5-FLOR-A06,SIO,R,0.9773113769968702
37,3,GFDL-CM2p5-FLOR-A06,SIO,RMSE,1.1943854093551636
38,3,GFDL-CM2p5-FLOR-A06,SPO,R,0.9782224331318797
39,3,GFDL-CM2p5-FLOR-A06,SPO,RMSE,1.040102481842041
40,3,GFDL-CM2p5-FLOR-A06,SAO,R,0.9676831235779954
41,3,GFDL-CM2p5-FLOR-A06,SAO,RMSE,1.5012156963348389
