,Month,Model,Region,Type,Value
0,1,GFDL-CM2p5-FLOR-B01,AO,R,0.9087894411291328
1,1,GFDL-CM2p5-FLOR-B01,AO,RMSE,1.0705252885818481
2,1,GFDL-CM2p5-FLOR-B01,PDO,R,0.9866702076884367
3,1,GFDL-CM2p5-FLOR-B01,PDO,RMSE,1.851525068283081
4,1,GFDL-CM2p5-FLOR-B01,WP,R,0.9166959000882289
5,1,GFDL-CM2p5-FLOR-B01,WP,RMSE,0.861442506313324
6,1,GFDL-CM2p5-FLOR-B01,Nino,R,0.8658754778704552
7,1,GFDL-CM2p5-FLOR-B01,Nino,RMSE,0.7322187423706055
8,1,GFDL-CM2p5-FLOR-B01,SIO,R,0.9803842014041133
9,1,GFDL-CM2p5-FLOR-B01,SIO,RMSE,1.0461821556091309
10,1,GFDL-CM2p5-FLOR-B01,SPO,R,0.9821277716790524
11,1,GFDL-CM2p5-FLOR-B01,SPO,RMSE,0.9163708090782166
12,1,GFDL-CM2p5-FLOR-B01,SAO,R,0.976884743358382
13,1,GFDL-CM2p5-FLOR-B01,SAO,RMSE,1.2353320121765137
14,2,GFDL-CM2p5-FLOR-B01,AO,R,0.895552597240935
15,2,GFDL-CM2p5-FLOR-B01,AO,RMSE,1.164508581161499
16,2,GFDL-CM2p5-FLOR-B01,PDO,R,0.9843902932257192
17,2,GFDL-CM2p5-FLOR-B01,PDO,RMSE,1.8995636701583862
18,2,GFDL-CM2p5-FLOR-B01,WP,R,0.905293224343487
19,2,GFDL-CM2p5-FLOR-B01,WP,RMSE,0.9175170063972473
20,2,GFDL-CM2p5-FLOR-B01,Nino,R,0.8553320852836584
21,2,GFDL-CM2p5-FLOR-B01,Nino,RMSE,0.8134329915046692
22,2,GFDL-CM2p5-FLOR-B01,SIO,R,0.9783861292278352
23,2,GFDL-CM2p5-FLOR-B01,SIO,RMSE,1.1157281398773193
24,2,GFDL-CM2p5-FLOR-B01,SPO,R,0.9796492331579177
25,2,GFDL-CM2p5-FLOR-B01,SPO,RMSE,0.9653600454330444
26,2,GFDL-CM2p5-FLOR-B01,SAO,R,0.9712890042528171
27,2,GFDL-CM2p5-FLOR-B01,SAO,RMSE,1.3843786716461182
28,3,GFDL-CM2p5-FLOR-B01,AO,R,0.8873998608560084
29,3,GFDL-CM2p5-FLOR-B01,AO,RMSE,1.2306151390075684
30,3,GFDL-CM2p5-FLOR-B01,PDO,R,0.9827443866588279
31,3,GFDL-CM2p5-FLOR-B01,PDO,RMSE,1.9537628889083862
32,3,GFDL-CM2p5-FLOR-B01,WP,R,0.8960880940857612
33,3,GFDL-CM2p5-FLOR-B01,WP,RMSE,0.9623686075210571
34,3,GFDL-CM2p5-FLOR-B01,Nino,R,0.8488590854493666
35,3,GFDL-CM2p5-FLOR-B01,Nino,RMSE,0.8733231425285339
36,3,GFDL-CM2p5-FLOR-B01,SIO,R,0.9771163948459047
37,3,GFDL-CM2p5-FLOR-B01,SIO,RMSE,1.176257610321045
38,3,GFDL-CM2p5-FLOR-B01,SPO,R,0.9776844451834293
39,3,GFDL-CM2p5-FLOR-B01,SPO,RMSE,1.0250800848007202
40,3,GFDL-CM2p5-FLOR-B01,SAO,R,0.9665504919121114
41,3,GFDL-CM2p5-FLOR-B01,SAO,RMSE,1.509758472442627
