,Month,Model,Region,Type,Value
0,1,NASA-GEOSS2S,AO,R,0.8978566997526695
1,1,NASA-GEOSS2S,AO,RMSE,3.4558637142181396
2,1,NASA-GEOSS2S,PDO,R,0.9812212604272211
3,1,NASA-GEOSS2S,PDO,RMSE,2.2013330459594727
4,1,NASA-GEOSS2S,WP,R,0.9081142443748237
5,1,NASA-GEOSS2S,WP,RMSE,0.9769638180732727
6,1,NASA-GEOSS2S,Nino,R,0.845406704941346
7,1,NASA-GEOSS2S,Nino,RMSE,1.0308622121810913
8,1,NASA-GEOSS2S,SIO,R,0.9731028353659519
9,1,NASA-GEOSS2S,SIO,RMSE,1.2395418882369995
10,1,NASA-GEOSS2S,SPO,R,0.9804061761338293
11,1,NASA-GEOSS2S,SPO,RMSE,0.9722438454627991
12,1,NASA-GEOSS2S,SAO,R,0.9696653259452142
13,1,NASA-GEOSS2S,SAO,RMSE,1.4298590421676636
14,2,NASA-GEOSS2S,AO,R,0.8932886671769619
15,2,NASA-GEOSS2S,AO,RMSE,3.4277610778808594
16,2,NASA-GEOSS2S,PDO,R,0.9787349304632436
17,2,NASA-GEOSS2S,PDO,RMSE,2.2984724044799805
18,2,NASA-GEOSS2S,WP,R,0.8994863322839831
19,2,NASA-GEOSS2S,WP,RMSE,1.0619674921035767
20,2,NASA-GEOSS2S,Nino,R,0.8416255235435305
21,2,NASA-GEOSS2S,Nino,RMSE,1.1972953081130981
22,2,NASA-GEOSS2S,SIO,R,0.9699076157995996
23,2,NASA-GEOSS2S,SIO,RMSE,1.318930745124817
24,2,NASA-GEOSS2S,SPO,R,0.9784310880424176
25,2,NASA-GEOSS2S,SPO,RMSE,1.049984097480774
26,2,NASA-GEOSS2S,SAO,R,0.9664395509680339
27,2,NASA-GEOSS2S,SAO,RMSE,1.5242637395858765
28,3,NASA-GEOSS2S,AO,R,0.8917917939944263
29,3,NASA-GEOSS2S,AO,RMSE,3.3703086376190186
30,3,NASA-GEOSS2S,PDO,R,0.9768968875769245
31,3,NASA-GEOSS2S,PDO,RMSE,2.3741090297698975
32,3,NASA-GEOSS2S,WP,R,0.8929709573070783
33,3,NASA-GEOSS2S,WP,RMSE,1.1297105550765991
34,3,NASA-GEOSS2S,Nino,R,0.8413757908023445
35,3,NASA-GEOSS2S,Nino,RMSE,1.2938047647476196
36,3,NASA-GEOSS2S,SIO,R,0.9671078197002237
37,3,NASA-GEOSS2S,SIO,RMSE,1.3926814794540405
38,3,NASA-GEOSS2S,SPO,R,0.9765107848381228
39,3,NASA-GEOSS2S,SPO,RMSE,1.1164976358413696
40,3,NASA-GEOSS2S,SAO,R,0.9632096340710146
41,3,NASA-GEOSS2S,SAO,RMSE,1.6142871379852295
