,Month,Model,Region,Type,Value
0,1,NASA-GMAO-062012,AO,R,0.7599077850832815
1,1,NASA-GMAO-062012,AO,RMSE,15.717988014221191
2,1,NASA-GMAO-062012,PDO,R,0.9683636607866929
3,1,NASA-GMAO-062012,PDO,RMSE,2.6992223262786865
4,1,NASA-GMAO-062012,WP,R,0.9022164419905486
5,1,NASA-GMAO-062012,WP,RMSE,0.9036045074462891
6,1,NASA-GMAO-062012,Nino,R,0.8371028787271096
7,1,NASA-GMAO-062012,Nino,RMSE,0.9945616722106934
8,1,NASA-GMAO-062012,SIO,R,0.9716448933383668
9,1,NASA-GMAO-062012,SIO,RMSE,1.4586899280548096
10,1,NASA-GMAO-062012,SPO,R,0.9792208645358856
11,1,NASA-GMAO-062012,SPO,RMSE,1.202246904373169
12,1,NASA-GMAO-062012,SAO,R,0.9505149003476103
13,1,NASA-GMAO-062012,SAO,RMSE,1.9945813417434692
14,2,NASA-GMAO-062012,AO,R,0.7562485384273523
15,2,NASA-GMAO-062012,AO,RMSE,15.782365798950195
16,2,NASA-GMAO-062012,PDO,R,0.9657981560739536
17,2,NASA-GMAO-062012,PDO,RMSE,2.7983176708221436
18,2,NASA-GMAO-062012,WP,R,0.8937737614892147
19,2,NASA-GMAO-062012,WP,RMSE,0.945101261138916
20,2,NASA-GMAO-062012,Nino,R,0.8299755255610628
21,2,NASA-GMAO-062012,Nino,RMSE,1.090611457824707
22,2,NASA-GMAO-062012,SIO,R,0.9692651408296346
23,2,NASA-GMAO-062012,SIO,RMSE,1.5435830354690552
24,2,NASA-GMAO-062012,SPO,R,0.9762243994180466
25,2,NASA-GMAO-062012,SPO,RMSE,1.2857686281204224
26,2,NASA-GMAO-062012,SAO,R,0.9479385594370716
27,2,NASA-GMAO-062012,SAO,RMSE,2.0587313175201416
28,3,NASA-GMAO-062012,AO,R,0.757546339911234
29,3,NASA-GMAO-062012,AO,RMSE,15.935626983642578
30,3,NASA-GMAO-062012,PDO,R,0.9648097241546494
31,3,NASA-GMAO-062012,PDO,RMSE,2.8324761390686035
32,3,NASA-GMAO-062012,WP,R,0.8841679169041253
33,3,NASA-GMAO-062012,WP,RMSE,0.9888125658035278
34,3,NASA-GMAO-062012,Nino,R,0.8246850416584511
35,3,NASA-GMAO-062012,Nino,RMSE,1.208486557006836
36,3,NASA-GMAO-062012,SIO,R,0.9675020445817133
37,3,NASA-GMAO-062012,SIO,RMSE,1.6197245121002197
38,3,NASA-GMAO-062012,SPO,R,0.974643468764901
39,3,NASA-GMAO-062012,SPO,RMSE,1.354682207107544
40,3,NASA-GMAO-062012,SAO,R,0.9465739298996717
41,3,NASA-GMAO-062012,SAO,RMSE,2.0951428413391113
