,Month,Model,Region,Type,Value
0,1,NCAR-CESM1,AO,R,0.4186595971923633
1,1,NCAR-CESM1,AO,RMSE,8.802711486816406
2,1,NCAR-CESM1,PDO,R,0.8730803922938641
3,1,NCAR-CESM1,PDO,RMSE,4.925950050354004
4,1,NCAR-CESM1,WP,R,0.629542234087271
5,1,NCAR-CESM1,WP,RMSE,2.369586944580078
6,1,NCAR-CESM1,Nino,R,0.8585264517198109
7,1,NCAR-CESM1,Nino,RMSE,0.964812159538269
8,1,NCAR-CESM1,SIO,R,0.962617712643385
9,1,NCAR-CESM1,SIO,RMSE,1.4471790790557861
10,1,NCAR-CESM1,SPO,R,0.9639659331099348
11,1,NCAR-CESM1,SPO,RMSE,1.2438175678253174
12,1,NCAR-CESM1,SAO,R,0.9032839319852712
13,1,NCAR-CESM1,SAO,RMSE,2.40181303024292
14,2,NCAR-CESM1,AO,R,0.4206441025717876
15,2,NCAR-CESM1,AO,RMSE,9.802000045776367
16,2,NCAR-CESM1,PDO,R,0.8725727055437664
17,2,NCAR-CESM1,PDO,RMSE,4.792227268218994
18,2,NCAR-CESM1,WP,R,0.6282250808359616
19,2,NCAR-CESM1,WP,RMSE,2.3782002925872803
20,2,NCAR-CESM1,Nino,R,0.860092892036926
21,2,NCAR-CESM1,Nino,RMSE,0.9380401372909546
22,2,NCAR-CESM1,SIO,R,0.9640391233485681
23,2,NCAR-CESM1,SIO,RMSE,1.4346786737442017
24,2,NCAR-CESM1,SPO,R,0.9609150751719533
25,2,NCAR-CESM1,SPO,RMSE,1.262544870376587
26,2,NCAR-CESM1,SAO,R,0.9038301929355417
27,2,NCAR-CESM1,SAO,RMSE,2.4207396507263184
28,3,NCAR-CESM1,AO,R,0.41830462881543984
29,3,NCAR-CESM1,AO,RMSE,11.109513282775879
30,3,NCAR-CESM1,PDO,R,0.8693373268180845
31,3,NCAR-CESM1,PDO,RMSE,4.796626091003418
32,3,NCAR-CESM1,WP,R,0.6263998701492802
33,3,NCAR-CESM1,WP,RMSE,2.3920624256134033
34,3,NCAR-CESM1,Nino,R,0.8599337160419582
35,3,NCAR-CESM1,Nino,RMSE,0.8926213383674622
36,3,NCAR-CESM1,SIO,R,0.9652315420706157
37,3,NCAR-CESM1,SIO,RMSE,1.443809151649475
38,3,NCAR-CESM1,SPO,R,0.959564224521696
39,3,NCAR-CESM1,SPO,RMSE,1.2783052921295166
40,3,NCAR-CESM1,SAO,R,0.9087713101775983
41,3,NCAR-CESM1,SAO,RMSE,2.3728911876678467
